"CustomerID","FirstName","LastName","Email","Country","RegistrationDate"
"1","John","Miller","john.miller1@example.com","USA","2024-04-09"
"2","Patricia","Davis","patricia.davis2@example.com","France","2020-09-15"
"3","Jennifer","Davis","jennifer.davis3@example.com","Japan","2022-01-10"
"4","Robert","Williams","robert.williams4@example.com","USA","2023-12-01"
"5","Robert","Davis","robert.davis5@example.com","Germany","2021-10-16"
"6","Michael","Miller","michael.miller6@example.com","France","2023-08-30"
"7","Jennifer","Johnson","jennifer.johnson7@example.com","USA","2020-02-18"
"8","John","Johnson","john.johnson8@example.com","USA","2023-05-29"
"9","Robert","Williams","robert.williams9@example.com","Australia","2024-09-11"
"10","Patricia","Johnson","patricia.johnson10@example.com","Canada","2024-07-21"
"11","Linda","Johnson","linda.johnson11@example.com","Australia","2022-01-02"
"12","Jennifer","Williams","jennifer.williams12@example.com","Australia","2022-10-17"
"13","Robert","Smith","robert.smith13@example.com","UK","2024-01-04"
"14","Patricia","Williams","patricia.williams14@example.com","Japan","2025-09-14"
"15","John","Brown","john.brown15@example.com","UK","2022-09-07"
"16","Michael","Miller","michael.miller16@example.com","Brazil","2022-08-05"
"17","James","Smith","james.smith17@example.com","UK","2023-06-04"
"18","Patricia","Jones","patricia.jones18@example.com","UK","2024-01-14"
"19","Jennifer","Williams","jennifer.williams19@example.com","France","2024-05-03"
"20","Robert","Garcia","robert.garcia20@example.com","France","2023-09-06"
"21","Mary","Smith","mary.smith21@example.com","USA","2021-01-21"
"22","James","Smith","james.smith22@example.com","Brazil","2023-03-12"
"23","John","Jones","john.jones23@example.com","Canada","2020-10-31"
"24","Linda","Jones","linda.jones24@example.com","Australia","2022-08-29"
"25","Jennifer","Garcia","jennifer.garcia25@example.com","Australia","2020-12-13"
"26","Jennifer","Smith","jennifer.smith26@example.com","Brazil","2021-09-23"
"27","James","Davis","james.davis27@example.com","Japan","2022-03-09"
"28","Michael","Smith","michael.smith28@example.com","Australia","2025-09-12"
"29","James","Jones","james.jones29@example.com","Australia","2022-01-16"
"30","John","Jones","john.jones30@example.com","USA","2025-09-12"
"31","Jennifer","Smith","jennifer.smith31@example.com","Australia","2022-05-18"
"32","Robert","Garcia","robert.garcia32@example.com","USA","2025-11-04"
"33","Mary","Davis","mary.davis33@example.com","Australia","2022-04-26"
"34","Mary","Davis","mary.davis34@example.com","Germany","2024-08-05"
"35","Jennifer","Davis","jennifer.davis35@example.com","Japan","2024-03-01"
"36","John","Johnson","john.johnson36@example.com","Brazil","2022-11-03"
"37","Michael","Johnson","michael.johnson37@example.com","France","2025-02-04"
"38","Robert","Garcia","robert.garcia38@example.com","Australia","2024-10-22"
"39","Patricia","Miller","patricia.miller39@example.com","USA","2020-03-17"
"40","Michael","Garcia","michael.garcia40@example.com","Australia","2024-04-30"
"41","Michael","Smith","michael.smith41@example.com","Brazil","2021-11-25"
"42","Patricia","Brown","patricia.brown42@example.com","Brazil","2021-06-19"
"43","Linda","Davis","linda.davis43@example.com","UK","2020-10-22"
"44","Mary","Davis","mary.davis44@example.com","France","2020-05-16"
"45","Robert","Miller","robert.miller45@example.com","Japan","2022-03-18"
"46","Linda","Smith","linda.smith46@example.com","Germany","2025-05-22"
"47","Linda","Johnson","linda.johnson47@example.com","Australia","2024-01-29"
"48","Jennifer","Miller","jennifer.miller48@example.com","Brazil","2025-11-12"
"49","James","Williams","james.williams49@example.com","USA","2025-07-31"
"50","James","Davis","james.davis50@example.com","USA","2021-12-22"
"51","Robert","Johnson","robert.johnson51@example.com","Canada","2022-07-03"
"52","James","Williams","james.williams52@example.com","Germany","2021-10-20"
"53","Robert","Brown","robert.brown53@example.com","Brazil","2023-02-08"
"54","Jennifer","Miller","jennifer.miller54@example.com","Japan","2023-04-28"
"55","Patricia","Jones","patricia.jones55@example.com","Japan","2024-11-07"
"56","Patricia","Garcia","patricia.garcia56@example.com","Canada","2024-04-02"
"57","Jennifer","Brown","jennifer.brown57@example.com","UK","2021-04-28"
"58","Patricia","Brown","patricia.brown58@example.com","Japan","2025-05-26"
"59","Jennifer","Williams","jennifer.williams59@example.com","USA","2023-07-12"
"60","James","Jones","james.jones60@example.com","UK","2024-11-30"
"61","Patricia","Miller","patricia.miller61@example.com","Canada","2023-04-22"
"62","James","Williams","james.williams62@example.com","Brazil","2023-10-16"
"63","Michael","Miller","michael.miller63@example.com","Brazil","2022-08-26"
"64","Michael","Williams","michael.williams64@example.com","Canada","2021-10-04"
"65","Linda","Brown","linda.brown65@example.com","USA","2023-12-11"
"66","James","Williams","james.williams66@example.com","Japan","2024-10-06"
"67","Patricia","Smith","patricia.smith67@example.com","France","2021-02-05"
"68","Linda","Johnson","linda.johnson68@example.com","Canada","2025-02-06"
"69","Michael","Garcia","michael.garcia69@example.com","Canada","2023-03-23"
"70","James","Williams","james.williams70@example.com","France","2025-07-13"
"71","Patricia","Davis","patricia.davis71@example.com","Brazil","2022-10-14"
"72","Robert","Brown","robert.brown72@example.com","France","2022-10-07"
"73","Michael","Smith","michael.smith73@example.com","Japan","2020-06-07"
"74","Michael","Brown","michael.brown74@example.com","Australia","2023-05-12"
"75","Mary","Johnson","mary.johnson75@example.com","Brazil","2022-09-12"
"76","Robert","Garcia","robert.garcia76@example.com","France","2020-04-24"
"77","John","Williams","john.williams77@example.com","Japan","2024-12-06"
"78","Robert","Williams","robert.williams78@example.com","Germany","2025-09-20"
"79","James","Davis","james.davis79@example.com","France","2024-12-03"
"80","Robert","Brown","robert.brown80@example.com","Brazil","2023-03-30"
